-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.010
-183.800, 80.200, -0.012,  0.177
-183.800, 80.197, 0.033,  0.344
-183.799, 80.172, 0.376,  0.511
-183.783, 80.096, 1.000,  0.678
-183.750, 79.967, 1.395,  0.845
-183.723, 79.823, 1.467,  1.012
-183.701, 79.680, 1.470,  1.179
-183.678, 79.531, 1.557,  1.346
-183.656, 79.370, 1.680,  1.513
-183.634, 79.199, 1.746,  1.680
-183.612, 79.025, 1.759,  1.847
-183.592, 78.851, 1.762,  2.014
-183.572, 78.676, 1.776,  2.181
-183.553, 78.498, 1.793,  2.348
-183.533, 78.320, 1.806,  2.515
-183.514, 78.140, 1.816,  2.682
-183.494, 77.959, 1.825,  2.849
-183.476, 77.777, 1.835,  3.016
-183.458, 77.593, 1.847,  3.183
-183.439, 77.409, 1.859,  3.350
-183.421, 77.223, 1.871,  3.517
-183.402, 77.036, 1.884,  3.684
-183.383, 76.848, 1.898,  3.851
-183.366, 76.658, 1.912,  4.018
-183.348, 76.467, 1.927,  4.185
-183.330, 76.274, 1.942,  4.352
-183.311, 76.080, 1.958,  4.519
-183.293, 75.884, 1.975,  4.686
-183.275, 75.686, 1.991,  4.853
-183.258, 75.487, 2.008,  5.020
-183.240, 75.286, 2.026,  5.187
-183.222, 75.083, 2.045,  5.354
-183.204, 74.878, 2.063,  5.521
-183.186, 74.671, 2.082,  5.688
-183.169, 74.463, 2.101,  5.855
-183.151, 74.252, 2.121,  6.022
-183.133, 74.040, 2.141,  6.189
-183.114, 73.825, 2.161,  6.356
-183.097, 73.608, 2.181,  6.523
-183.079, 73.390, 2.202,  6.690
-183.062, 73.169, 2.223,  6.857
-183.044, 72.946, 2.244,  7.024
-183.027, 72.721, 2.266,  7.191
-183.009, 72.494, 2.288,  7.358
-182.992, 72.265, 2.310,  7.525
-182.974, 72.033, 2.332,  7.692
-182.956, 71.799, 2.355,  7.859
-182.938, 71.563, 2.378,  8.026
-182.921, 71.324, 2.401,  8.193
-182.903, 71.083, 2.425,  8.360
-182.886, 70.840, 2.449,  8.527
-182.868, 70.594, 2.472,  8.694
-182.851, 70.346, 2.497,  8.861
-182.834, 70.096, 2.522,  9.028
-182.816, 69.843, 2.546,  9.195
-182.799, 69.587, 2.572,  9.362
-182.782, 69.329, 2.597,  9.529
-182.765, 69.069, 2.622,  9.696
-182.747, 68.805, 2.648,  9.863
-182.730, 68.540, 2.675, 10.030
-182.714, 68.271, 2.701, 10.197
-182.696, 68.000, 2.728, 10.364
-182.679, 67.726, 2.755, 10.531
-182.662, 67.449, 2.783, 10.698
-182.646, 67.170, 2.811, 10.865
-182.629, 66.888, 2.839, 11.032
-182.612, 66.603, 2.867, 11.199
-182.594, 66.315, 2.895, 11.366
-182.577, 66.024, 2.925, 11.533
-182.559, 65.730, 2.954, 11.700
-182.542, 65.434, 2.983, 11.867
-182.525, 65.134, 3.014, 12.034
-182.508, 64.831, 3.044, 12.201
-182.490, 64.526, 3.074, 12.368
-182.473, 64.217, 3.105, 12.535
-182.456, 63.905, 3.137, 12.702
-182.439, 63.590, 3.168, 12.869
-182.423, 63.272, 3.200, 13.036
-182.406, 62.950, 3.231, 13.203
-182.389, 62.626, 3.263, 13.370
-182.373, 62.298, 3.297, 13.537
-182.357, 61.967, 3.330, 13.704
-182.341, 61.632, 3.363, 13.871
-182.324, 61.294, 3.397, 14.038
-182.308, 60.953, 3.431, 14.205
-182.292, 60.608, 3.465, 14.372
-182.276, 60.260, 3.500, 14.539
